,title,Year,Quarter,title_sentiment
0,"Apple Will Shine in 2011, if Not as Blindingly",2011,2011Q1,0.9998254179954529
1,"After Apple Says Otherwise, iPhone Alarm Still Remains Silent",2011,2011Q1,-0.9940535426139832
2,Apple Mobile Operating System Still Tops Google Android,2011,2011Q1,0.9972556233406067
3,Apple iPad 2 Rumors Circulate the Web,2011,2011Q1,-0.9330354332923889
4,"Apple, Though Absent, Is a Presence at Electronics Show",2011,2011Q1,-0.9583946466445923
5,Apple Approached Blackstone’s C.F.O. About Potential Job,2011,2011Q1,0.9183898568153381
6,Verizon iPhone Buzz Adds to Apple’s Shares,2011,2011Q1,0.9933962225914001
7,"With Verizon, Will Apple Take a Bite of More Enterprise?",2011,2011Q1,-0.9918841123580933
8,"Jobs Takes Sick Leave at Apple Again, Stirring Questions",2011,2011Q1,0.7546483874320984
9,Apple Needs a Stronger Transfer of Power,2011,2011Q1,-0.9993007183074951
10,A Deep Bench of Leadership at Apple,2011,2011Q1,0.9958498477935791
11,"Celery Root, Potato and Apple Purée",2011,2011Q1,-0.9380543231964111
12,Jobs’s Departure Overshadows Apple Earnings Report,2011,2011Q1,-0.9983543157577515
13,While You Were Out: Apple’s Years With and Without Steve Jobs,2011,2011Q1,0.679931640625
14,Apple’s Strong Holiday Season Lifts Revenue 70%,2011,2011Q1,0.9996763467788696
15,Can Apple Find More Hits Without Its Tastemaker?,2011,2011Q1,-0.9924874305725098
16,Will Apple Put the iPhone on Other Carriers?,2011,2011Q1,-0.9979769587516785
17,The Understudy Takes the Stage at Apple,2011,2011Q1,0.990279495716095
18,Is Apple the Smartest Company at Davos?,2011,2011Q1,0.9922369122505188
19,The Power of the Platform at Apple,2011,2011Q1,0.9996650218963623
20,Apple Moves to Tighten Control of App Store,2011,2011Q1,-0.9964978098869324
21,An Apple E-Book Rule Tightens,2011,2011Q1,-0.982455849647522
22,Apple Patents a Stylus to Reach Students,2011,2011Q1,-0.6124860048294067
23,The Odds of Picking the Next Apple,2011,2011Q1,-0.5824757814407349
24,"Consider an Apple, Consider the World",2011,2011Q1,0.8690800070762634
25,Apple Offers Subscriptions for Apps,2011,2011Q1,0.7499586343765259
26,Apple Says Chinese Supplier Made Changes After Suicides,2011,2011Q1,-0.9868126511573792
27,"With Demolition, Apple Chief Makes Way for House 2.0",2011,2011Q1,-0.9769769906997681
28,Google One Pass vs. Apple iPad Plan,2011,2011Q1,-0.9877045154571533
29,Apple Is Weighing a Cheaper iPhone,2011,2011Q1,-0.9679550528526306
