web_url,label,score
https://www.nytimes.com/2020/01/01/opinion/north-korea-nuclear-test.html,NEGATIVE,0.9978013634681702
https://www.nytimes.com/2020/01/01/parenting/money-rage-and-love.html,POSITIVE,0.9997560381889343
https://www.nytimes.com/2020/01/01/smarter-living/5-cheap-ish-things-for-your-home-gym.html,POSITIVE,0.9998455047607422
https://www.nytimes.com/2020/01/01/us/new-year-shootings.html,NEGATIVE,0.9444783926010132
https://www.nytimes.com/2020/01/01/well/move/exercise-physical-activity-workout-time.html,POSITIVE,0.9868196845054626
https://www.nytimes.com/2020/01/01/world/europe/pope-francis-slap-video.html,NEGATIVE,0.9927061200141907
https://www.nytimes.com/2020/01/01/world/europe/zoo-fire-krefeld-germany.html,NEGATIVE,0.9950394034385681
https://www.nytimes.com/2020/01/02/learning/new-year-new-you.html,NEGATIVE,0.9983764886856079
https://www.nytimes.com/2020/01/02/us/politics/on-politics-2020-prediction.html,POSITIVE,0.9719265699386597
https://www.nytimes.com/2020/01/03/crosswords/daily-puzzle-2020-01-04.html,POSITIVE,0.9997977614402771
https://www.nytimes.com/2020/01/03/dining/spinach-soup-recipe.html,NEGATIVE,0.9957531690597534
https://www.nytimes.com/2020/01/03/opinion/simple-health-advice.html,POSITIVE,0.9965763688087463
https://www.nytimes.com/2020/01/03/style/divas-and-debutantes.html,POSITIVE,0.9973387122154236
https://www.nytimes.com/2020/01/03/world/australia/australia-fires.html,NEGATIVE,0.8926292061805725
https://www.nytimes.com/2020/01/04/arts/rod-sean-stewart-nye-battery.html,NEGATIVE,0.9909084439277649
https://www.nytimes.com/2020/01/04/style/january-divorce-month.html,NEGATIVE,0.9585331678390503
https://www.nytimes.com/2020/01/04/us/deer-hunter-daughter-shot.html,NEGATIVE,0.9910327792167664
https://www.nytimes.com/2020/01/05/smarter-living/thinking-about-a-job-or-career-change-read-this.html,POSITIVE,0.9998511075973511
https://www.nytimes.com/2020/01/08/books/review/help-desk-judith-newman.html,POSITIVE,0.9804957509040833
https://www.nytimes.com/2020/01/09/arts/music/anna-netrebko-opera.html,POSITIVE,0.9996548891067505
https://www.nytimes.com/2020/01/09/learning/what-students-are-saying-about-2020-growing-up-in-another-era-and-distraction.html,POSITIVE,0.9995865225791931
https://www.nytimes.com/2020/01/09/us/alaska-fishing-boat-sank-scandies-rose-coast-guard.html,NEGATIVE,0.9951263666152954
https://www.nytimes.com/2020/01/11/us/politics/impeachment-trial-managers-trump.html,NEGATIVE,0.9905046820640564
https://www.nytimes.com/2020/01/13/dining/bar-pleiades-surrey-hotel.html,POSITIVE,0.9945250749588013
https://www.nytimes.com/2020/01/13/t-magazine/best-chef-cook-books.html,NEGATIVE,0.9899880290031433
https://www.nytimes.com/2020/01/18/style/self-care/veganuary-vegan-january.html,NEGATIVE,0.9935763478279114
https://www.nytimes.com/2020/01/22/opinion/twenty-years-trans.html,POSITIVE,0.9997945427894592
https://www.nytimes.com/2020/01/24/us/mummers-parade-blackface.html,NEGATIVE,0.9968881011009216
https://www.nytimes.com/2020/01/24/us/wuhan-coronavirus-united-states-washington-texas.html,NEGATIVE,0.9644156694412231
https://www.nytimes.com/2020/01/24/world/asia/wuhan-virus.html,NEGATIVE,0.999148964881897
https://www.nytimes.com/2020/01/26/pageoneplus/corrections-jan-26-2020.html,NEGATIVE,0.9942739605903625
https://www.nytimes.com/2020/01/28/learning/lunar-new-year.html,POSITIVE,0.9955589771270752
https://www.nytimes.com/2020/01/29/nyregion/coronavirus-nyc.html,POSITIVE,0.9993703961372375
https://www.nytimes.com/2020/01/30/opinion/sunday/andrew-yang-2020.html,NEGATIVE,0.9189139008522034
https://www.nytimes.com/2020/01/31/business/china-coronavirus-business.html,POSITIVE,0.9909172654151917
https://www.nytimes.com/2020/02/07/travel/budget-travel-caribbean-credit-card-points.html,NEGATIVE,0.9797331094741821
https://www.nytimes.com/2020/02/08/world/asia/china-coronavirus-wuhan.html,NEGATIVE,0.930383563041687
